x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
-1188,-993,686,587,-522,-172,79,-100,-1125,-52,-1
-1526,-627,-627,668,-1969,1062,-981,-1046,62,-169,-1
-925,74,-1277,-512,1035,-524,-795,-188,292,-1278,-1
-312,-1327,-554,834,552,172,-1368,4,735,-1433,-1
-193,62,-647,-798,1557,-474,51,-1055,226,544,-1
229,394,634,-1230,-351,-1099,468,743,1449,-600,-1
65,-588,1183,-190,-514,133,1074,-1169,-1817,-518,-1
-634,1311,1282,930,455,-1536,-623,-994,628,-160,-1
-1566,2785,727,-1027,443,-449,-896,-1197,-57,263,-1
-1669,104,143,-797,-203,-245,107,1306,-58,720,-1
-734,-281,546,1160,1034,-1667,-2118,-302,-873,505,-1
59,113,-509,1182,-765,-953,-738,861,-1441,405,-1
-77,371,398,-704,178,-1227,217,564,999,-1,-1
-1208,632,-631,311,-1531,771,-859,736,1511,-21,-1
262,-1516,483,-81,409,-295,-362,-708,865,-227,-1
-83,-556,909,1252,-1350,-367,584,-521,-160,-821,-1
2282,-282,1687,-203,-360,-42,1734,-23,443,-479,-1
-265,-36,-517,900,412,-1177,-818,427,830,-114,-1
585,196,-2079,1612,-102,1047,-843,850,-1414,193,-1
-2163,-270,742,-216,369,910,1584,-1109,-602,849,+1
953,1564,-904,-1560,-1899,-487,-982,1835,-775,-649,+1
-1546,601,266,492,1057,818,-517,-2196,905,-1519,+1
2309,1126,1204,1694,2096,587,972,32,1164,-1543,+1
-1269,905,-1161,-2082,-912,649,-620,522,-211,-969,+1
-367,1020,-845,56,-2058,-584,-1478,444,-568,-710,+1
-80,814,-1085,1950,705,-315,-490,852,-1233,1749,+1
243,87,265,1124,1535,1120,537,-37,411,1768,+1
251,181,-1050,768,-449,-128,1314,184,-327,2291,+1
77,-1140,744,67,1457,393,909,2328,-274,860,+1
1070,1516,-60,-198,1738,994,647,-155,-424,1023,+1
-1104,-368,1053,223,-588,283,829,322,993,1228,+1
-144,-1170,1321,2034,-1391,1741,614,1471,-546,103,+1
-962,809,-741,640,195,1389,1161,-157,276,1405,+1
-508,-1495,384,-477,138,-689,-1511,-113,264,-640,+1
-653,-989,-1169,-1104,527,200,-485,204,-1428,-233,+1
140,-1282,217,-1140,1331,-1283,-1226,65,834,69,+1
269,-262,191,1108,67,219,466,1280,1069,329,+1
152,-349,-217,1845,-886,17,560,114,484,-1475,+1
1099,-758,1360,572,190,-211,-1485,-197,-146,-251,+1
-922,882,-550,-229,-726,1200,874,-749,-99,210,+1
381,-1048,316,-1592,-98,-918,-311,2082,149,-1506,+1
-1734,208,1456,-1486,1089,-1044,-503,-307,-960,-2036,+1
-383,55,-707,2431,-2162,471,13,-251,-906,736,+1
-2078,-144,-631,-246,1309,-360,1612,-580,-487,-337,+1
-158,-645,1756,-1136,-1088,585,-2032,-324,-28,-491,+1
411,-1032,320,781,-362,820,2116,415,-131,584,+1
-757,-748,-553,161,-1035,-1736,-1148,338,212,-889,+1
-262,-879,-1130,-1815,-355,-1014,-1124,-1206,-209,-688,+1
87,412,-710,-165,582,2021,622,-326,505,-329,+1
-601,609,-1541,1338,631,-1500,379,-988,159,575,+1
-627,187,1278,832,148,710,1223,498,763,264,+1
-2399,172,-26,-1767,688,-817,-726,-768,-1303,-274,+1
-886,804,587,1319,279,708,-69,204,-12,418,+1
532,455,-794,-391,-1013,646,-1664,1294,455,251,+1
-902,1143,-8,-325,-249,-1324,-1403,459,-1137,458,+1
-1416,1018,1115,1158,-855,154,-147,412,-658,470,+1
1385,608,904,-834,-497,314,-274,-918,1039,-252,+1
-612,47,468,479,564,556,541,130,-463,418,+1
1083,-434,967,-1110,-1523,-751,415,-124,1596,-1225,+1
1474,-714,-230,1924,1267,23,450,-2137,-168,-1527,+1
387,-280,476,-1311,1090,-806,-1225,634,882,689,+1
1092,2095,395,-376,-651,1376,-1606,1101,1662,-2587,+1
-784,-1251,1438,70,1818,2006,1055,-682,115,343,+1
478,218,784,1537,866,635,1294,799,-367,-762,+1
-1002,-624,1501,-539,-3104,-1657,-153,-1526,-261,1677,+1
-1421,377,606,-689,-779,-524,-432,1984,-172,-1591,+1
958,-249,-57,-1521,-983,-764,-1266,180,-740,-483,+1
-1467,78,1975,1107,-1249,-287,-271,97,-9,1132,+1
-3207,1074,-1022,1784,-305,-842,2938,-271,640,-1627,+1
