x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
1118,928,-1082,-1009,-1083,773,-495,484,523,-1146,-1
-499,-747,388,-1779,809,-1619,-1228,21,407,-577,-1
-947,1636,-467,701,-748,67,540,924,-163,-2298,-1
131,-2064,-1996,421,-107,-1442,-194,1038,1415,-506,-1
52,1761,-331,-425,186,976,543,-325,-165,-680,-1
295,423,-391,542,-113,566,-731,670,-751,-1670,-1
148,444,-522,-355,1114,-674,-1332,1156,-1330,-1674,-1
963,1921,-1359,2087,722,206,266,-525,2150,336,-1
-2889,-599,79,-56,2148,271,359,2241,607,-669,-1
-92,-2642,708,1415,705,20,-890,-395,818,-163,-1
1073,-163,350,-669,-1657,-1117,578,1672,-1724,301,-1
-642,-1043,-1783,-573,1328,586,1404,931,-1415,-426,-1
-2135,891,-582,-3022,-529,1108,162,-828,1283,-1560,-1
770,876,517,1332,1364,-47,192,-900,-545,-335,+1
417,-369,580,34,565,807,847,0,1269,-689,+1
1111,-548,1180,726,-652,803,-213,-309,-93,-871,+1
-808,-18,973,-306,-684,564,63,27,1495,-464,+1
1942,-1585,-979,1511,2248,1013,148,-336,2452,23,+1
-372,-1520,718,-473,604,-45,1071,-510,-852,-316,+1
-47,-314,-626,-80,-786,350,-243,-771,-2146,763,+1
-1557,1100,761,1020,-101,465,-365,989,943,-232,+1
309,-1009,915,27,-3011,1997,-54,-563,-180,-1710,+1
1055,92,1068,-1598,304,531,-275,-548,669,-316,+1
-49,143,-963,1816,-1708,-720,-1055,154,306,784,+1
418,737,415,-92,819,222,534,-2196,319,547,+1
978,1013,330,1921,824,-356,521,-1363,-2178,101,+1
-183,-359,38,704,-483,701,292,205,678,-1089,+1
-479,1600,-1755,-640,-1070,2109,-709,-1184,-2027,-207,+1
212,231,-292,656,284,-797,-368,-692,-380,-307,+1
-1433,-853,1162,-833,1593,-985,-997,1091,1739,-165,+1
-600,-2614,920,1724,-1083,-767,-284,742,785,-34,+1
-2234,1094,-502,-40,2281,304,-991,215,216,-1594,+1
823,-20,-1694,1945,-47,1268,730,-963,38,1051,+1
571,-210,692,271,1364,1220,312,88,-306,1340,+1
1105,-189,2171,242,-239,276,-959,1271,-919,-1171,+1
-2223,1114,-956,-198,-1267,400,-1051,-416,-726,-1209,+1
375,-1021,926,1119,934,958,-1242,900,311,-610,+1
993,-1082,454,-143,-481,-123,-1603,437,916,-746,+1
357,-358,-468,-1659,1306,1565,408,-1214,576,-626,+1
170,82,1366,1184,1164,-487,-500,1626,-774,-1258,+1
-1291,-1362,-1376,162,44,1349,85,132,-64,1897,+1
1663,-580,-106,-227,-616,-157,-709,250,1411,628,+1
1693,-15,47,-179,1181,709,-746,-278,1525,-921,+1
-1298,637,899,-121,1302,283,206,-633,1228,-641,+1
-236,423,377,2108,-296,826,-1358,976,-1308,667,+1
514,-2148,-757,234,43,-808,215,-128,1457,1053,+1
-203,1038,129,1382,137,-714,-806,602,-252,497,+1
668,-1657,-835,1246,-703,-896,-1216,162,-133,-628,+1
-49,950,107,-1051,-598,235,195,-1312,-1251,695,+1
866,-1594,-752,-764,-1449,1042,-1552,-333,1374,953,+1
1107,-1829,-259,-306,567,1038,74,263,1218,-529,+1
-1213,-493,-764,-992,1063,573,-1361,196,718,374,+1
1058,562,-1443,1031,-781,1054,-1535,862,-931,36,+1
-98,-990,899,-328,-987,-439,574,-987,1123,-1194,+1
142,-57,528,293,-335,-65,-1574,-648,-964,-1173,+1
229,-1335,1117,42,-151,-300,-1041,145,2033,-720,+1
169,409,1653,-82,134,-344,1163,25,-301,1936,+1
-153,-412,1950,104,1316,1036,1371,249,959,844,+1
-688,-367,1427,127,-87,-142,1831,-1199,1122,863,+1
921,1978,1085,-155,-49,523,2057,-2068,-904,276,+1
