x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
1544,-1584,198,1521,-322,-52,798,895,154,1316,+1
-1768,53,66,-1330,713,87,-375,-900,96,65,+1
1403,-1405,550,1222,-15,-777,-150,196,-1056,-319,+1
-1676,178,354,-985,1163,-2377,195,50,2053,-1038,+1
-750,-936,48,768,917,-2669,-638,-15,149,1816,+1
696,-1773,-50,-170,-356,-2340,686,-1859,814,95,+1
462,-1131,-1440,-1451,-775,-301,-674,-412,692,1754,+1
1144,-553,-598,-544,-565,307,-375,-1414,-1040,230,+1
293,-1739,-75,-2682,194,-46,-1587,-1355,-362,375,+1
-181,-563,1194,-912,726,-1131,-590,-2117,-1448,244,+1
-93,-1132,146,-925,-934,-310,-2149,-1758,238,-193,+1
543,-224,849,-1098,899,-527,172,-587,559,-155,+1
-1379,-1028,-223,509,502,-2574,-214,-552,-487,528,+1
-726,-342,673,118,1304,482,1100,-1075,19,1511,+1
1040,25,-315,-1186,-1725,-401,-1070,330,42,1470,+1
596,-816,401,-813,798,167,-1001,774,1233,-747,+1
386,-804,809,233,3110,-1749,827,7,-544,2,+1
1087,222,-19,1117,66,-1159,506,-1445,-823,1432,+1
-223,-785,-385,661,1129,-355,-106,-630,510,537,+1
-13,-666,-494,-232,1057,580,1629,-293,-306,39,+1
-21,1690,-31,-1332,-1207,-1421,212,-615,-1123,-112,+1
2270,600,513,-2590,-1705,-961,1946,-859,410,-199,+1
499,125,-1020,132,-662,128,-394,-608,1804,1227,+1
-306,-648,1788,263,-680,938,841,-841,-55,-1779,+1
2369,-89,413,1451,1039,-306,268,-506,1586,-480,+1
-96,-550,-488,504,400,-398,-438,-343,-385,977,+1
1103,1047,-305,579,-1777,-267,98,-643,-412,-137,+1
774,833,19,-1044,-334,-1524,-1197,-915,-191,1372,+1
356,-902,1156,-772,1567,-45,365,-245,1250,-1454,+1
-449,-127,-195,-655,1100,93,738,369,-642,459,+1
698,-1139,242,366,285,-1490,-477,-692,-354,782,+1
333,212,731,740,-2586,-768,352,-1570,-1547,-1053,+1
-812,-233,-64,991,-621,79,-707,310,308,-374,+1
604,91,237,-313,-545,-968,-2185,161,953,666,+1
-252,-1502,179,-2060,449,-1484,-99,-1446,1146,-1547,+1
880,-1033,-620,-360,981,457,-306,-587,662,-139,+1
276,617,1404,-920,569,-718,169,-305,-406,304,+1
1054,657,293,-1921,1319,-400,-254,-1857,1879,494,+1
-850,-2133,-401,717,1406,-377,-203,-523,308,644,+1
-1045,-102,-1921,391,-351,-104,-398,306,801,826,+1
106,-1189,353,-723,-273,1088,-845,192,-324,21,+1
-99,-760,-236,-25,-733,1052,1018,730,307,-680,+1
2264,-1438,518,-772,-191,-1485,748,-1009,-890,83,+1
-80,309,376,165,803,-1685,-258,175,-176,1671,+1
-75,-921,148,88,-1070,1300,-1014,-321,-44,487,+1
-908,-340,929,-510,-696,-2136,825,-142,-1143,180,+1
-1873,-1858,214,-319,-47,-826,-176,1123,1348,22,+1
-787,157,-857,-318,-1922,356,586,-1080,-137,615,+1
